"wilaya_id","w","Lon","Lat","geoAddress"
1,"„”‹ﬁÿ","23.5880462","58.3828798","muscat governorate, oman"
2,"«·”‹Ì»","23.6271673","58.1665132","seeb, oman"
3,"„‹ÿ—Õ","23.617276","58.557239","mutrah, muscat, oman"
4,"»Ê‘‹—","23.5651914","58.4201892","bawshar, muscat, oman"
5,"«·⁄«„‹—« ","23.511126","58.451582","al amarat, oman"
6,"ﬁ—Ì« ","23.1682093","58.8747865","qurayyat, oman"
7,"’Õ«—","24.3460959","56.7075141","sohar, oman"
8,"«·—” «ﬁ","23.4425277","57.4344451","rustaq, oman"
9,"‘‰«’","24.7242467","56.4607919","shinas, oman"
10,"·ÊÏ","24.5068401","56.5952891","liwa, oman"
11,"’Õ„","24.1539162","56.8648473","saham, oman"
12,"«·Œ«»Ê—…","23.9628375","57.095682","al khaburah, oman"
13,"«·”ÊÌﬁ","23.8262343","57.4287899","al suwayq, oman"
14,"‰Œ·","23.3942423","57.8197188","nakhl, oman"
15,"Ê«œÌ «·„⁄«Ê·","23.4769847","57.8430836","hibra, oman"
16,"«·⁄Ê«»Ì","23.3078432","57.536292","al awabi, oman"
17,"«·„’‰⁄…","23.7474253","57.632572","al masnaah, oman"
18,"»—ﬂ«¡","23.6837432","57.9048938","barka, oman"
19,"Œ’»","26.1644384","56.2426404","khasab, oman"
20,"»Œ«¡","26.1407713","56.1532893","bukh<U+0101>, oman"
21,"œ»«","25.6365398","56.2538153","dibba, oman, oman"
22,"„œÕ«¡","25.2919613","56.3320773","madha, oman"
23,"«·»—Ì„Ì","24.25","55.7999","al buraimi"
24,"⁄»—Ì","23.2359238","56.4943984","ibri, oman"
25,"„Õ÷…","24.4054184","55.963705","mahdah, oman"
26,"Ì‰ﬁ·","23.5989926","56.5448304","yanqul, oman"
27,"÷‰ﬂ","23.5451853","56.2594033","dhank, oman"
28,"‰“ÊÏ","22.9171031","57.536292","nizwa, oman"
29,"”„«∆·","23.2968896","57.973082","samail, oman"
30,"»Â·«¡","22.9510175","57.2931571","bahla, oman"
31,"√œ„","22.386514","57.5249708","adam, oman"
32,"«·Õ„—«¡","23.1025508","57.2875097","al hamra, oman"
33,"„‰Õ","22.7926568","57.5929166","manah, oman"
34,"≈“ﬂÌ","22.9329","57.7686","Willayat Izki"
35,"»œ»œ","23.4069561","58.1252383","bidbid, oman"
36,"’Ê—","22.5652759","59.5066376","sur, oman"
37,"≈»—«¡","22.7244454","58.5258173","ibra, oman"
38,"»œÌ…","22.4428429","58.8003292","bidiyah, oman"
39,"«·ﬁ«»·","22.6036569","58.1807494","al qabil, oman"
40,"«·„÷Ì»Ì","22.5757316","58.118986","Ê·«Ì… «·„÷Ì»Ì / «·„÷Ì»Ì° 27, al mudaybi, oman"
41,"œ„«¡ Ê«·ÿ«∆ÌÌ‰","23.0026623","58.5086818","dima wattayeen, oman"
42,"«·ﬂ«„· Ê«·Ê«›Ì","22.2096469","59.2132871","al kamil wal wafi, oman"
43,"Ã⁄·«‰ »‰Ì »Ê ⁄·Ì","22.0177073","59.3454978","jalan bani buali, oman"
44,"Ã⁄·«‰ »‰Ì »Ê Õ”‰","22.0890702","59.2765008","jalan bani buhassan, oman"
45,"Ê«œÌ »‰Ì Œ«·œ","22.3105479","59.1793027","wadi bani khalid, oman"
46,"„’Ì—…","20.3173398","58.6915912","masirah island, oman"
47,"ÂÌ„«¡","19.955811","56.268059","haima, oman"
48,"20.131995","20.131995","57.830014","Willayat Mahoot"
49,"«·œﬁ„","19.617926","57.639438","duqm° 711, oman"
50,"18.548172","18.548172","55.857593","Willayat Al Jazir"
51,"’·«·…","17.0506675","54.1065864","salalah, oman"
52,"À‹„‹—Ì ","17.6513361","54.0303343","thumrait, oman"
53,"ÿ«ﬁ…","17.0552467","54.379516","taqah, oman"
54,"„—»«ÿ","16.9930697","54.7027669","mirbat, oman"
55,"”œÕ","17.0559323","55.0672551","sadah, oman"
56,"—ŒÌÊ ","16.7489979","53.4216562","—ŒÌÊ ° oman"
57,"÷·ﬂÊ ","16.7117717","53.1857395","dhalkut, oman"
58,"„ﬁ‘‰","17.6513361","54.0303343","thumrait, oman"
59,"‘·Ì„ ÊÃ“— «·Õ·«‰Ì« ","17.537858","55.9701098","khuriya muriya islands, oman"
60,"«·„“ÌÊ‰…","17.8399687","52.6573508","al mazyunah, oman"
61,"«·”‰Ì‰…","23.6198936","55.9692754","as sunainah, oman"
